date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2012-01-19,2012,01,19,26.6,11.8,1021.2,10.0,5.3,12.0,14.0,36.0,19.9,0.0,999.9,0
2012-01-20,2012,01,20,31.2,13.0,1019.1,10.0,6.7,16.9,18.1,37.0,24.1,0.0,999.9,0
2012-01-21,2012,01,21,25.9,17.0,1021.3,5.7,7.2,16.9,21.0,33.1,23.0,0.11,999.9,1
2012-01-22,2012,01,22,24.4,16.7,1030.2,10.0,7.2,18.1,999.9,35.1,18.0,0.28,1.2,0
2012-01-23,2012,01,23,38.5,35.6,1025.9,5.3,5.8,15.0,20.0,51.1,33.1,0.0,3.1,1
2012-01-24,2012,01,24,49.3,41.6,1015.2,8.2,7.3,12.0,19.0,53.6,43.0,0.37,2.0,1
2012-01-25,2012,01,25,41.4,26.6,1022.5,10.0,6.8,15.9,17.1,46.9,37.9,0.0,999.9,0
2012-01-26,2012,01,26,36.5,28.5,1021.9,8.7,3.1,8.0,14.0,39.9,33.1,0.02,999.9,0
2012-01-27,2012,01,27,47.5,45.0,1003.9,4.1,5.9,16.9,26.0,59.0,37.0,0.16,999.9,1
2012-01-28,2012,01,28,42.4,27.2,1012.3,10.0,8.0,16.9,24.1,48.9,37.9,0.47,999.9,0
2012-01-29,2012,01,29,41.0,26.5,1017.1,9.9,13.5,15.0,999.9,43.0,39.0,0.0,999.9,0
2012-01-30,2012,01,30,39.7,24.5,1018.6,9.9,13.3,19.0,999.9,41.0,37.9,0.0,999.9,0
2012-01-31,2012,01,31,44.7,28.9,1020.9,9.4,8.3,11.1,15.0,55.9,32.0,0.0,999.9,0
2012-02-01,2012,02,01,55.1,35.7,1014.3,9.9,7.1,14.0,21.0,62.1,42.1,0.0,999.9,0
2012-02-02,2012,02,02,45.6,31.4,1016.6,10.0,5.8,18.1,999.9,57.0,39.0,0.01,999.9,0
2012-02-03,2012,02,03,36.7,18.3,1027.1,10.0,7.2,16.9,19.0,44.1,30.0,0.0,999.9,0
2012-02-04,2012,02,04,41.3,21.5,1024.8,10.0,3.7,15.0,999.9,45.0,32.0,0.0,999.9,0
2012-02-05,2012,02,05,36.0,19.2,1020.1,10.0,5.3,11.1,15.0,42.1,30.9,0.0,999.9,0
2012-02-06,2012,02,06,39.5,21.1,1019.1,10.0,6.5,18.1,999.9,51.1,28.0,0.0,999.9,0
2012-02-07,2012,02,07,43.7,25.4,1017.0,10.0,6.1,14.0,17.1,48.9,39.0,0.0,999.9,0
2012-02-08,2012,02,08,35.5,18.7,1023.4,9.9,4.3,14.0,999.9,43.0,30.9,0.0,999.9,0
2012-02-09,2012,02,09,35.7,23.0,1019.1,8.3,5.3,12.0,15.0,45.0,30.2,0.01,999.9,0
2012-02-10,2012,02,10,39.3,21.4,1018.9,10.0,5.0,9.9,14.0,45.0,30.9,0.0,999.9,0
2012-02-11,2012,02,11,36.0,28.7,1008.0,5.8,4.2,15.9,17.1,43.0,33.1,0.06,999.9,0
2012-02-12,2012,02,12,29.2,12.2,1007.7,9.2,10.5,23.9,25.1,37.0,21.0,0.08,999.9,0
2012-02-13,2012,02,13,33.0,13.8,1015.0,10.0,7.9,22.9,999.9,43.0,21.0,0.01,999.9,0
2012-02-14,2012,02,14,40.4,16.6,1017.6,10.0,3.8,11.1,15.9,46.9,36.0,0.0,999.9,0
2012-02-15,2012,02,15,42.3,36.4,1020.5,7.7,3.2,8.0,17.1,46.0,39.9,0.02,999.9,0
2012-02-16,2012,02,16,40.3,32.6,1024.3,8.3,3.7,7.0,999.9,45.0,36.0,0.01,999.9,0
2012-02-17,2012,02,17,45.0,34.7,1015.4,7.0,6.2,14.0,22.9,50.0,39.9,0.22,999.9,0
2012-02-18,2012,02,18,41.5,20.8,1015.9,10.0,5.6,16.9,17.1,48.0,35.1,0.03,999.9,0
2012-02-19,2012,02,19,39.1,25.0,1016.9,9.8,5.7,15.0,19.0,44.1,35.1,0.02,999.9,0
2012-02-20,2012,02,20,37.6,17.1,1014.6,10.0,7.5,22.0,999.9,46.0,30.9,0.0,999.9,0
2012-02-21,2012,02,21,38.5,20.7,1024.6,10.0,6.1,14.0,22.9,46.0,32.0,0.0,999.9,0
2012-02-22,2012,02,22,48.4,33.8,1006.1,9.8,6.2,12.0,18.1,55.9,41.0,0.0,999.9,0
2012-02-23,2012,02,23,51.5,34.8,999.2,10.0,6.3,16.9,22.9,57.0,43.0,0.0,999.9,0
2012-02-24,2012,02,24,41.8,34.0,1004.1,6.2,7.5,13.0,20.0,48.9,35.6,0.29,999.9,0
2012-02-25,2012,02,25,41.3,25.5,999.6,9.4,11.6,34.0,35.0,46.9,37.4,0.31,999.9,0
2012-02-26,2012,02,26,35.7,12.1,1025.2,10.0,8.4,20.0,999.9,45.0,28.9,0.0,999.9,0
2012-02-27,2012,02,27,43.2,24.8,1027.2,10.0,2.3,9.9,999.9,55.9,27.0,0.0,999.9,0
2012-02-28,2012,02,28,45.5,23.3,1025.8,10.0,5.2,20.0,26.0,53.1,39.9,0.0,999.9,0
2012-02-29,2012,02,29,40.1,27.7,1024.2,7.6,4.3,11.1,18.1,44.1,30.9,0.0,999.9,0
2012-03-01,2012,03,01,39.2,37.7,1006.9,6.4,0.2,18.1,999.9,44.1,37.4,0.47,999.9,0
2012-03-02,2012,03,02,36.9,30.6,1017.3,10.0,5.7,16.9,999.9,41.0,33.1,0.13,999.9,0
2012-03-03,2012,03,03,46.9,39.1,1002.9,6.2,3.5,20.0,21.0,55.9,39.2,0.23,999.9,1
2012-03-04,2012,03,04,43.1,19.6,1004.0,10.0,6.6,14.0,20.0,54.0,39.0,0.05,999.9,0
2012-03-05,2012,03,05,36.7,15.6,1012.9,9.9,7.3,16.9,21.0,44.1,32.0,0.0,999.9,0
2012-03-06,2012,03,06,32.5,9.1,1032.7,10.0,6.3,16.9,19.0,44.1,25.0,0.0,999.9,0
2012-03-07,2012,03,07,46.3,26.9,1032.7,10.0,7.5,18.1,20.0,61.0,33.1,0.0,999.9,0
2012-03-08,2012,03,08,59.9,45.4,1022.2,10.0,6.6,21.0,27.0,70.0,46.0,0.0,999.9,0
2012-03-09,2012,03,09,49.2,31.2,1015.9,9.9,7.7,22.9,26.0,66.0,41.0,0.02,999.9,0
2012-03-10,2012,03,10,36.1,12.0,1031.8,10.0,6.2,16.9,28.0,42.1,28.9,99.99,999.9,0
2012-03-11,2012,03,11,44.9,19.4,1031.5,10.0,6.4,18.1,19.0,59.0,28.0,0.0,999.9,0
2012-03-12,2012,03,12,55.6,32.4,1025.3,10.0,4.3,15.9,17.1,70.0,43.0,0.0,999.9,0
2012-03-13,2012,03,13,62.5,48.8,1017.5,9.6,4.2,12.0,15.0,73.0,45.0,0.04,999.9,1
2012-03-14,2012,03,14,64.9,35.4,1019.4,10.0,4.7,18.1,999.9,70.0,48.9,0.0,999.9,1
2012-03-15,2012,03,15,49.3,36.5,1024.6,9.1,5.5,12.0,999.9,64.0,41.0,0.0,999.9,0
2012-03-16,2012,03,16,45.3,42.5,1023.5,4.5,4.0,8.9,999.9,50.0,36.0,0.02,999.9,0
2012-03-17,2012,03,17,52.2,45.3,1024.8,6.8,3.5,9.9,999.9,61.0,42.1,0.01,999.9,0
2012-03-18,2012,03,18,51.1,45.0,1026.6,6.8,3.2,13.0,15.0,63.0,39.9,0.0,999.9,0
2012-03-19,2012,03,19,60.9,50.2,1022.3,8.3,3.8,14.0,999.9,73.0,43.0,0.0,999.9,0
2012-03-20,2012,03,20,62.9,54.2,1024.7,9.1,2.5,7.0,999.9,73.0,55.0,0.0,999.9,1
2012-03-21,2012,03,21,60.6,56.8,1026.4,6.6,2.7,8.0,999.9,66.9,57.0,0.0,999.9,1
2012-03-22,2012,03,22,62.9,56.8,1021.9,5.4,2.6,14.0,15.9,75.9,48.0,0.0,999.9,1
2012-03-23,2012,03,23,67.5,52.9,1018.3,9.2,4.6,15.0,15.9,75.0,54.0,0.0,999.9,0
2012-03-24,2012,03,24,59.1,33.0,1017.5,10.0,5.2,11.1,21.0,64.0,48.0,0.0,999.9,0
2012-03-25,2012,03,25,48.6,37.9,1011.6,9.9,7.3,12.0,17.1,54.0,43.0,0.07,999.9,0
2012-03-26,2012,03,26,49.7,30.0,1008.8,10.0,5.8,22.0,32.1,54.0,39.9,0.06,999.9,0
2012-03-27,2012,03,27,38.9,1.4,1022.3,10.0,5.6,8.9,28.0,51.1,30.0,0.0,999.9,0
2012-03-28,2012,03,28,52.2,25.7,1012.3,9.8,4.8,15.0,22.9,66.9,36.0,0.0,999.9,0
2012-03-29,2012,03,29,54.8,37.5,1006.0,10.0,8.1,19.0,27.0,64.0,46.0,0.02,999.9,0
2012-03-30,2012,03,30,46.2,23.0,1016.4,10.0,4.4,15.0,17.1,57.0,39.9,0.0,999.9,0
2012-03-31,2012,03,31,41.3,37.0,1012.9,7.2,6.6,14.0,22.0,46.9,36.0,0.36,999.9,0
2012-04-01,2012,04,01,45.7,37.3,1010.2,9.4,2.8,8.0,999.9,52.0,32.0,0.01,999.9,0
2012-04-02,2012,04,02,48.0,32.9,1006.4,8.7,5.5,11.1,22.0,55.9,37.9,0.55,999.9,0
2012-04-03,2012,04,03,50.5,16.2,1011.3,10.0,5.8,16.9,17.1,63.0,39.0,0.04,999.9,0
2012-04-04,2012,04,04,59.8,19.4,1004.3,10.0,4.1,13.0,22.0,66.9,45.0,0.0,999.9,0
2012-04-05,2012,04,05,49.6,25.8,1008.6,10.0,4.9,15.9,22.9,61.0,42.1,0.0,999.9,0
2012-04-06,2012,04,06,47.1,22.2,1013.9,10.0,5.8,9.9,17.1,59.0,37.9,0.0,999.9,0
2012-04-07,2012,04,07,49.9,17.6,1016.5,10.0,5.0,15.9,24.1,60.1,34.0,0.0,999.9,0
2012-04-08,2012,04,08,54.6,19.7,1011.2,10.0,6.7,14.0,28.9,66.0,39.9,0.0,999.9,0
2012-04-09,2012,04,09,56.5,22.0,1004.7,10.0,10.1,22.0,35.9,62.1,45.0,0.0,999.9,0
2012-04-10,2012,04,10,53.6,27.8,1005.6,10.0,4.6,14.0,15.9,59.0,45.0,0.0,999.9,0
2012-04-11,2012,04,11,47.6,30.1,1009.5,10.0,5.1,13.0,14.0,51.1,36.0,0.0,999.9,0
2012-04-12,2012,04,12,50.1,32.0,1014.6,10.0,4.3,9.9,18.1,61.0,43.0,0.0,999.9,0
2012-04-13,2012,04,13,53.2,28.7,1020.7,10.0,2.7,12.0,999.9,64.0,41.0,0.0,999.9,0
2012-04-14,2012,04,14,60.1,28.9,1020.4,10.0,3.3,13.0,999.9,71.1,46.9,0.0,999.9,0
2012-04-15,2012,04,15,67.7,47.8,1015.8,9.9,3.5,12.0,19.0,75.9,48.9,0.0,999.9,0
2012-04-16,2012,04,16,73.6,55.5,1015.1,9.3,4.1,9.9,15.9,84.9,53.1,0.0,999.9,0
2012-04-17,2012,04,17,73.3,44.1,1016.5,10.0,5.0,9.9,18.1,78.1,68.0,0.0,999.9,0
2012-04-18,2012,04,18,57.6,32.4,1022.2,10.0,5.2,21.0,999.9,70.0,48.9,0.0,999.9,0
2012-04-19,2012,04,19,56.0,44.5,1018.9,8.7,1.5,9.9,999.9,69.1,46.0,0.05,999.9,0
2012-04-20,2012,04,20,60.9,46.1,1016.2,10.0,3.6,11.1,17.1,69.1,46.9,0.04,999.9,0
2012-04-21,2012,04,21,61.6,54.8,1008.2,7.8,4.2,13.0,22.0,70.0,51.1,0.0,999.9,1
2012-04-22,2012,04,22,51.3,48.1,1006.4,7.4,6.5,19.0,29.9,63.0,46.0,0.22,999.9,1
2012-04-23,2012,04,23,50.0,47.3,990.8,5.5,7.8,22.9,28.0,55.9,48.0,2.67,999.9,0
2012-04-24,2012,04,24,48.5,32.5,998.4,10.0,6.8,22.0,999.9,59.0,41.0,0.22,999.9,0
2012-04-25,2012,04,25,52.9,32.2,1007.9,10.0,2.5,13.0,17.1,62.1,43.0,0.0,999.9,0
2012-04-26,2012,04,26,52.0,42.4,1011.0,8.3,4.6,13.0,15.0,59.0,43.0,0.0,999.9,0
2012-04-27,2012,04,27,50.4,37.6,1010.3,7.8,6.7,21.0,26.0,55.9,45.0,0.07,999.9,0
2012-04-28,2012,04,28,47.0,25.2,1021.3,10.0,5.8,19.0,999.9,60.1,37.9,0.04,999.9,0
2012-04-29,2012,04,29,53.4,23.2,1020.2,10.0,5.0,18.1,999.9,63.0,44.1,0.0,999.9,0
2012-04-30,2012,04,30,52.0,23.0,1025.2,10.0,4.0,8.9,999.9,60.1,42.1,0.0,999.9,0
2012-05-01,2012,05,01,56.9,50.4,1018.5,7.0,4.2,21.0,999.9,68.0,46.9,0.58,999.9,0
2012-05-02,2012,05,02,52.5,49.1,1020.0,8.0,4.9,14.0,999.9,61.0,46.9,0.04,999.9,0
2012-05-03,2012,05,03,53.4,51.3,1020.5,5.5,2.6,7.0,999.9,57.9,46.0,0.55,999.9,0
2012-05-04,2012,05,04,59.5,56.1,1014.8,4.9,1.6,12.0,999.9,73.0,48.9,0.1,999.9,0
2012-05-05,2012,05,05,59.1,55.5,1013.9,5.7,3.0,8.9,999.9,64.0,48.0,0.0,999.9,0
2012-05-06,2012,05,06,58.4,50.5,1018.3,8.6,3.1,13.0,999.9,64.0,46.9,0.0,999.9,0
2012-05-07,2012,05,07,56.8,43.8,1019.7,10.0,2.9,6.0,999.9,64.0,41.0,0.0,999.9,0
2012-05-08,2012,05,08,58.5,49.8,1015.4,9.7,4.4,15.9,20.0,64.9,50.0,0.01,999.9,0
2012-05-09,2012,05,09,62.9,61.0,1007.7,4.6,2.6,16.9,999.9,69.1,53.1,0.23,999.9,0
2012-05-10,2012,05,10,59.1,49.1,1001.9,7.3,5.0,22.0,24.1,64.9,53.6,0.33,999.9,0
2012-05-11,2012,05,11,58.2,34.4,1013.2,10.0,5.3,14.0,19.0,68.0,48.9,0.19,999.9,0
2012-05-12,2012,05,12,65.0,35.6,1021.1,10.0,3.3,15.9,999.9,77.0,43.0,0.0,999.9,0
2012-05-13,2012,05,13,70.9,48.1,1020.7,10.0,3.8,12.0,999.9,80.1,52.0,0.0,999.9,0
2012-05-14,2012,05,14,67.7,57.9,1019.9,9.7,3.8,12.0,19.0,73.0,55.0,0.0,999.9,0
2012-05-15,2012,05,15,62.8,59.9,1018.6,6.5,3.7,12.0,15.0,64.9,54.0,0.01,999.9,1
2012-05-16,2012,05,16,66.4,63.2,1012.1,3.5,2.0,8.9,999.9,78.1,57.9,0.62,999.9,1
2012-05-17,2012,05,17,65.0,45.3,1016.5,10.0,4.0,14.0,999.9,73.0,53.1,0.09,999.9,1
2012-05-18,2012,05,18,62.1,42.1,1021.8,10.0,3.7,11.1,999.9,71.1,44.1,0.0,999.9,0
2012-05-19,2012,05,19,64.2,43.2,1020.9,10.0,2.7,15.9,999.9,78.1,46.9,0.0,999.9,0
2012-05-20,2012,05,20,66.9,42.3,1022.6,10.0,4.1,13.0,15.0,77.0,46.9,0.0,999.9,0
2012-05-21,2012,05,21,60.4,55.8,1021.8,5.6,6.7,13.0,19.0,66.9,52.0,0.0,999.9,1
2012-05-22,2012,05,22,63.4,61.0,1011.7,5.8,4.9,13.0,15.9,70.0,57.9,1.62,999.9,1
2012-05-23,2012,05,23,67.9,63.4,1013.0,7.6,2.1,8.0,999.9,73.9,57.0,0.04,999.9,1
2012-05-24,2012,05,24,64.6,63.2,1019.6,4.6,3.4,11.1,999.9,66.0,52.0,0.03,999.9,1
2012-05-25,2012,05,25,64.7,62.8,1022.1,3.5,3.6,11.1,999.9,73.4,52.0,0.92,999.9,1
2012-05-26,2012,05,26,72.2,68.0,1019.7,7.2,2.9,12.0,999.9,84.0,57.0,0.0,999.9,1
2012-05-27,2012,05,27,73.3,65.4,1019.5,7.9,1.4,13.0,999.9,81.0,60.1,0.07,999.9,0
2012-05-28,2012,05,28,76.8,68.0,1014.5,9.2,1.9,7.0,999.9,89.1,61.0,0.01,999.9,1
2012-05-29,2012,05,29,81.1,69.5,1009.7,9.5,3.6,8.9,999.9,89.1,75.0,0.0,999.9,1
2012-05-30,2012,05,30,71.6,65.4,1007.5,9.3,3.0,11.1,999.9,78.1,61.0,0.22,999.9,1
2012-05-31,2012,05,31,72.5,55.6,1008.4,9.8,4.0,8.0,15.9,79.0,59.0,0.01,999.9,1
2012-06-01,2012,06,01,66.7,51.9,1014.4,10.0,5.9,15.9,18.1,73.0,55.9,0.0,999.9,1
2012-06-02,2012,06,02,67.0,58.6,1006.7,7.6,5.4,21.0,999.9,73.9,53.1,0.64,999.9,0
2012-06-03,2012,06,03,64.9,50.0,1006.5,9.8,4.4,18.1,22.0,75.9,55.9,0.39,999.9,1
2012-06-04,2012,06,04,59.9,52.2,1004.4,9.4,6.2,19.0,999.9,64.9,51.1,0.01,999.9,0
2012-06-05,2012,06,05,57.2,47.0,1010.9,9.9,4.5,18.1,19.0,64.0,51.1,0.18,999.9,0
2012-06-06,2012,06,06,62.2,51.4,1014.4,9.8,1.7,8.0,999.9,71.1,52.0,0.01,999.9,0
2012-06-07,2012,06,07,65.7,54.5,1014.2,9.9,2.8,8.0,999.9,77.0,57.0,0.02,999.9,0
2012-06-08,2012,06,08,69.9,53.0,1012.6,10.0,3.0,8.0,999.9,81.0,51.1,0.01,999.9,1
2012-06-09,2012,06,09,71.7,53.9,1012.1,10.0,2.1,11.1,999.9,78.1,59.0,0.0,999.9,0
2012-06-10,2012,06,10,73.4,61.8,1017.0,9.8,1.6,13.0,999.9,82.0,55.9,0.0,999.9,1
2012-06-11,2012,06,11,70.2,58.3,1022.9,9.5,4.3,9.9,15.0,77.0,53.1,0.0,999.9,0
2012-06-12,2012,06,12,66.6,62.3,1020.3,6.9,4.9,12.0,15.9,70.0,62.1,0.0,999.9,0
2012-06-13,2012,06,13,66.1,63.8,1013.6,5.9,5.4,12.0,22.0,68.0,57.0,1.32,999.9,0
2012-06-14,2012,06,14,68.1,59.6,1021.0,9.8,5.8,15.0,18.1,75.9,57.0,0.02,999.9,0
2012-06-15,2012,06,15,68.6,54.3,1024.8,9.8,3.4,16.9,999.9,78.1,53.1,0.0,999.9,0
2012-06-16,2012,06,16,68.3,52.3,1025.7,10.0,4.0,14.0,999.9,79.0,55.9,0.0,999.9,0
2012-06-17,2012,06,17,64.8,55.6,1022.7,9.8,4.4,13.0,999.9,71.1,55.9,0.0,999.9,0
2012-06-18,2012,06,18,62.7,52.7,1020.1,10.0,2.8,7.0,999.9,70.0,55.9,0.0,999.9,0
2012-06-19,2012,06,19,67.5,59.4,1020.4,9.9,2.6,8.9,999.9,75.9,52.0,0.0,999.9,1
2012-06-20,2012,06,20,79.6,67.5,1017.2,8.0,2.8,15.9,999.9,93.0,59.0,0.0,999.9,0
2012-06-21,2012,06,21,86.9,66.9,1012.1,8.8,4.0,12.0,20.0,93.0,72.0,0.0,999.9,0
2012-06-22,2012,06,22,82.4,68.3,1008.4,6.1,3.0,8.9,19.0,90.0,69.1,0.0,999.9,0
2012-06-23,2012,06,23,74.6,62.7,1011.0,6.6,2.9,11.1,999.9,82.0,68.0,0.35,999.9,0
2012-06-24,2012,06,24,74.4,55.7,1014.8,10.0,2.6,11.1,999.9,82.0,61.0,0.0,999.9,0
2012-06-25,2012,06,25,68.8,63.8,1008.6,7.9,2.9,12.0,17.1,75.9,63.0,0.08,999.9,0
2012-06-26,2012,06,26,64.5,49.6,1006.1,10.0,4.8,20.0,22.9,72.0,57.9,0.13,999.9,0
2012-06-27,2012,06,27,71.3,47.4,1007.6,10.0,5.8,16.9,21.0,81.0,62.1,0.0,999.9,0
2012-06-28,2012,06,28,77.7,53.3,1008.8,10.0,4.9,14.0,18.1,88.0,64.9,0.0,999.9,0
2012-06-29,2012,06,29,82.4,64.8,1004.9,8.3,3.5,11.1,999.9,93.0,64.9,0.21,999.9,1
2012-06-30,2012,06,30,85.7,60.5,1006.4,9.7,3.8,12.0,999.9,93.0,64.0,0.0,999.9,0
2012-07-01,2012,07,01,83.6,63.0,1008.9,9.7,4.1,9.9,18.1,93.0,66.0,0.0,999.9,0
2012-07-02,2012,07,02,80.3,54.1,1011.6,10.0,3.8,15.0,999.9,88.0,66.9,0.0,999.9,0
2012-07-03,2012,07,03,79.8,56.7,1012.8,10.0,2.9,12.0,999.9,88.0,63.0,0.0,999.9,0
2012-07-04,2012,07,04,81.8,65.6,1009.1,9.2,3.6,11.1,999.9,91.0,68.0,0.06,999.9,0
2012-07-05,2012,07,05,86.7,64.3,1007.4,9.4,3.8,15.0,999.9,93.9,70.0,99.99,999.9,0
2012-07-06,2012,07,06,81.9,62.3,1011.7,10.0,3.1,9.9,999.9,91.0,66.9,0.0,999.9,0
2012-07-07,2012,07,07,84.9,65.9,1010.1,9.5,3.1,14.0,17.1,95.0,70.0,0.0,999.9,0
2012-07-08,2012,07,08,80.6,65.5,1010.1,8.5,3.1,8.0,15.9,90.0,70.0,0.59,999.9,0
2012-07-09,2012,07,09,78.5,56.8,1012.7,10.0,3.5,9.9,999.9,84.0,68.0,0.09,999.9,0
2012-07-10,2012,07,10,76.5,56.3,1016.0,10.0,3.4,9.9,999.9,86.0,61.0,0.0,999.9,0
2012-07-11,2012,07,11,77.1,62.0,1019.9,10.0,1.9,7.0,999.9,84.0,64.9,0.0,999.9,0
2012-07-12,2012,07,12,77.4,60.2,1021.7,10.0,2.3,7.0,999.9,88.0,57.0,0.0,999.9,0
2012-07-13,2012,07,13,78.9,60.7,1021.8,9.9,3.0,7.0,999.9,87.1,63.0,0.0,999.9,0
2012-07-14,2012,07,14,78.5,62.7,1021.6,10.0,3.5,13.0,19.0,82.0,68.0,0.0,999.9,1
2012-07-15,2012,07,15,79.7,68.6,1018.3,9.1,2.8,13.0,999.9,87.1,70.0,0.0,999.9,0
2012-07-16,2012,07,16,79.0,67.9,1011.5,9.2,4.0,14.0,22.0,91.0,70.0,0.26,999.9,0
2012-07-17,2012,07,17,84.6,63.3,1009.3,9.4,3.5,9.9,18.1,93.9,70.0,0.0,999.9,0
2012-07-18,2012,07,18,85.3,69.1,1008.9,7.2,3.7,13.0,20.0,100.0,73.0,0.0,999.9,1
2012-07-19,2012,07,19,73.3,67.2,1013.2,7.5,3.4,15.0,18.1,75.9,68.0,1.76,999.9,0
2012-07-20,2012,07,20,67.2,62.8,1014.9,7.4,6.5,13.0,21.0,73.9,61.0,0.17,999.9,0
2012-07-21,2012,07,21,68.1,58.5,1018.3,9.8,4.1,12.0,999.9,77.0,57.9,0.43,999.9,0
2012-07-22,2012,07,22,72.5,59.4,1020.3,10.0,2.0,8.0,999.9,82.0,54.0,0.0,999.9,0
2012-07-23,2012,07,23,76.0,67.2,1016.9,8.9,3.0,13.0,999.9,86.0,64.0,0.0,999.9,0
2012-07-24,2012,07,24,80.3,67.3,1005.4,8.1,6.0,15.0,18.1,90.0,70.0,0.15,999.9,0
2012-07-25,2012,07,25,76.5,53.5,1009.7,10.0,4.2,19.0,999.9,84.9,66.9,0.0,999.9,0
2012-07-26,2012,07,26,78.0,62.4,1007.0,8.9,4.3,13.0,29.9,87.1,66.9,0.0,999.9,1
2012-07-27,2012,07,27,76.6,69.3,1007.0,9.1,4.4,14.0,999.9,87.1,70.0,0.6,999.9,0
2012-07-28,2012,07,28,75.5,69.6,1012.2,7.0,3.9,8.0,15.9,84.0,68.0,0.0,999.9,1
2012-07-29,2012,07,29,71.7,66.1,1015.1,9.4,3.2,12.0,15.9,79.0,66.9,0.18,999.9,0
2012-07-30,2012,07,30,73.1,65.1,1018.6,10.0,2.2,8.9,999.9,79.0,64.9,0.01,999.9,0
2012-07-31,2012,07,31,73.4,64.3,1016.7,10.0,3.8,14.0,999.9,80.1,60.1,0.0,999.9,0
2012-08-01,2012,08,01,72.2,68.4,1012.4,7.8,2.5,9.9,999.9,78.1,66.9,0.55,999.9,1
2012-08-02,2012,08,02,75.0,68.4,1011.3,6.2,2.7,11.1,999.9,87.1,66.2,0.11,999.9,1
2012-08-03,2012,08,03,77.9,70.8,1015.3,6.0,4.4,13.0,18.1,89.1,69.1,0.0,999.9,1
2012-08-04,2012,08,04,77.9,71.7,1021.1,5.7,4.1,11.1,18.1,90.0,71.1,0.0,999.9,1
2012-08-05,2012,08,05,78.1,72.4,1019.7,5.8,6.1,15.0,22.9,91.0,69.1,0.0,999.9,1
2012-08-06,2012,08,06,77.3,66.9,1015.7,8.9,5.5,15.0,22.0,86.0,71.1,0.49,999.9,0
2012-08-07,2012,08,07,75.2,58.1,1015.7,10.0,1.2,9.9,999.9,82.9,63.0,0.01,999.9,0
2012-08-08,2012,08,08,77.8,67.1,1014.7,8.8,1.1,8.0,999.9,86.0,64.0,0.0,999.9,0
2012-08-09,2012,08,09,78.2,69.6,1013.6,9.3,2.3,7.0,15.0,88.0,61.0,0.0,999.9,0
2012-08-10,2012,08,10,75.3,71.3,1011.6,7.6,5.4,20.0,23.9,79.0,66.2,0.0,999.9,1
2012-08-11,2012,08,11,77.7,71.5,1010.2,7.8,6.9,16.9,28.0,87.1,71.1,1.1,999.9,0
2012-08-12,2012,08,12,77.8,65.4,1012.5,8.7,5.7,22.0,29.9,84.9,69.8,0.62,999.9,0
2012-08-13,2012,08,13,76.3,61.2,1014.6,9.2,4.3,13.0,999.9,86.0,69.1,0.05,999.9,0
2012-08-14,2012,08,14,76.0,62.6,1014.0,9.6,2.3,9.9,999.9,81.0,69.1,0.0,999.9,0
